,date,location,people_vaccinated_per_hundred
1338,2021-01-12,California,1.78
1339,2021-01-13,California,1.88
1340,2021-01-14,California,2.03
1341,2021-01-15,California,2.19
1342,2021-01-16,California,2.19
1343,2021-01-17,California,2.19
1344,2021-01-18,California,2.19
1345,2021-01-19,California,3.03
1346,2021-01-20,California,3.18
1347,2021-01-21,California,3.38
1348,2021-01-22,California,3.74
1349,2021-01-23,California,4.21
1350,2021-01-24,California,4.65
1351,2021-01-25,California,4.95
1352,2021-01-26,California,5.2
1353,2021-01-27,California,5.46
1354,2021-01-28,California,5.77
1355,2021-01-29,California,6.11
1356,2021-01-30,California,6.49
1357,2021-01-31,California,6.88
1358,2021-02-01,California,7.24
1359,2021-02-02,California,7.44
1360,2021-02-03,California,7.71
1361,2021-02-04,California,7.81
1362,2021-02-05,California,8.17
1363,2021-02-06,California,8.58
1364,2021-02-07,California,9.25
1365,2021-02-08,California,9.65
1366,2021-02-09,California,9.82
1367,2021-02-10,California,10.11
1368,2021-02-11,California,10.4
1369,2021-02-12,California,10.69
1370,2021-02-13,California,11.0
1371,2021-02-14,California,11.37
1372,2021-02-15,California,11.37
1373,2021-02-16,California,11.92
1374,2021-02-17,California,12.06
1375,2021-02-18,California,12.31
1376,2021-02-19,California,13.06
1377,2021-02-20,California,13.38
1378,2021-02-21,California,13.73
1379,2021-02-22,California,13.91
1380,2021-02-23,California,14.07
1381,2021-02-24,California,14.27
1382,2021-02-25,California,14.52
1383,2021-02-26,California,14.84
1384,2021-02-27,California,15.17
1385,2021-02-28,California,15.54
1386,2021-03-01,California,15.93
1387,2021-03-02,California,16.5
1388,2021-03-03,California,16.86
1389,2021-03-04,California,17.06
1390,2021-03-05,California,17.38
1391,2021-03-06,California,17.91
1392,2021-03-07,California,18.24
1393,2021-03-08,California,18.52
1394,2021-03-09,California,18.73
1395,2021-03-10,California,18.97
1396,2021-03-11,California,19.24
1397,2021-03-12,California,19.59
1398,2021-03-13,California,20.31
1399,2021-03-14,California,20.32
1400,2021-03-15,California,20.98
1401,2021-03-16,California,21.61
1402,2021-03-17,California,22.39
1403,2021-03-18,California,23.03
1404,2021-03-19,California,23.54
1405,2021-03-20,California,24.2
1406,2021-03-21,California,24.89
1407,2021-03-22,California,25.49
1408,2021-03-23,California,26.01
1409,2021-03-24,California,26.63
1410,2021-03-25,California,27.23
1411,2021-03-26,California,27.99
1412,2021-03-27,California,28.66
1413,2021-03-28,California,29.29
1414,2021-03-29,California,29.87
1415,2021-03-30,California,30.19
1416,2021-03-31,California,30.67
1417,2021-04-01,California,31.32
1418,2021-04-02,California,31.95
1419,2021-04-03,California,32.74
1420,2021-04-04,California,33.64
1421,2021-04-05,California,34.24
1422,2021-04-06,California,34.51
1423,2021-04-07,California,35.13
1424,2021-04-08,California,35.74
1425,2021-04-09,California,36.56
1426,2021-04-10,California,37.47
1427,2021-04-11,California,38.28
